,Timestamp,ensemble_optimization_score,single_best_optimization_score,single_best_train_score
0,2023-04-09 21:52:45.795836,0.3333333333333333,,
1,2023-04-09 21:52:53.875706,0.7224130692011146,,
46,2023-04-09 21:53:10.000000,0.7224130692011146,0.678186992580932,1.0
2,2023-04-09 21:53:10.802271,0.767479674796748,0.678186992580932,1.0
3,2023-04-09 21:53:14.259639,0.775416182733256,0.678186992580932,1.0
4,2023-04-09 21:53:14.259639,0.775416182733256,0.678186992580932,1.0
5,2023-04-09 21:53:14.259639,0.775416182733256,0.678186992580932,1.0
6,2023-04-09 21:53:34.023478,0.7799845141308556,0.678186992580932,1.0
7,2023-04-09 21:53:43.246057,0.7885017421602787,0.678186992580932,1.0
8,2023-04-09 21:53:43.246057,0.7885017421602787,0.678186992580932,1.0
60,2023-04-09 21:54:03.000000,0.7885017421602787,0.7901781159356918,0.981192353498943
59,2023-04-09 21:54:03.000000,0.7885017421602787,0.7901781159356918,0.981192353498943
48,2023-04-09 21:54:03.000000,0.7885017421602787,0.7901781159356918,0.981192353498943
49,2023-04-09 21:54:03.000000,0.7885017421602787,0.7901781159356918,0.981192353498943
50,2023-04-09 21:54:03.000000,0.7885017421602787,0.7901781159356918,0.981192353498943
54,2023-04-09 21:54:03.000000,0.7885017421602787,0.7901781159356918,0.981192353498943
52,2023-04-09 21:54:03.000000,0.7885017421602787,0.7901781159356918,0.981192353498943
53,2023-04-09 21:54:03.000000,0.7885017421602787,0.7901781159356918,0.981192353498943
61,2023-04-09 21:54:03.000000,0.7885017421602787,0.7901781159356918,0.981192353498943
55,2023-04-09 21:54:03.000000,0.7885017421602787,0.7901781159356918,0.981192353498943
56,2023-04-09 21:54:03.000000,0.7885017421602787,0.7901781159356918,0.981192353498943
51,2023-04-09 21:54:03.000000,0.7885017421602787,0.7901781159356918,0.981192353498943
57,2023-04-09 21:54:03.000000,0.7885017421602787,0.7901781159356918,0.981192353498943
58,2023-04-09 21:54:03.000000,0.7885017421602787,0.7901781159356918,0.981192353498943
9,2023-04-09 21:54:05.152504,0.8142857142857144,0.7901781159356918,0.981192353498943
10,2023-04-09 21:54:05.152504,0.8142857142857144,0.7901781159356918,0.981192353498943
11,2023-04-09 21:54:05.152504,0.8142857142857144,0.7901781159356918,0.981192353498943
47,2023-04-09 21:54:08.000000,0.8142857142857144,0.699788286909499,1.0
12,2023-04-09 21:54:51.505402,0.8185443283004258,0.699788286909499,1.0
16,2023-04-09 21:55:01.043081,0.8226093689508324,0.699788286909499,1.0
13,2023-04-09 21:55:01.043081,0.8226093689508324,0.699788286909499,1.0
14,2023-04-09 21:55:01.043081,0.8226093689508324,0.699788286909499,1.0
15,2023-04-09 21:55:01.043081,0.8226093689508324,0.699788286909499,1.0
83,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
84,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
86,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
80,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
88,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
62,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
87,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
81,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
63,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
65,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
79,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
78,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
77,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
76,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
82,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
74,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
64,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
73,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
71,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
70,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
69,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
68,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
67,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
66,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
72,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
75,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
85,2023-04-09 21:55:31.000000,0.8226093689508324,0.7904076843470783,1.0
17,2023-04-09 21:56:28.665025,0.8241966705381341,0.7904076843470783,1.0
19,2023-04-09 21:56:53.853853,0.8282617111885404,0.7904076843470783,1.0
18,2023-04-09 21:56:53.853853,0.8282617111885404,0.7904076843470783,1.0
20,2023-04-09 21:57:35.719244,0.8316969568086022,0.7904076843470783,1.0
115,2023-04-09 21:57:50.000000,0.8316969568086022,0.7919873336540003,1.0
103,2023-04-09 21:57:50.000000,0.8316969568086022,0.7919873336540003,1.0
102,2023-04-09 21:57:50.000000,0.8316969568086022,0.7919873336540003,1.0
89,2023-04-09 21:57:50.000000,0.8316969568086022,0.7919873336540003,1.0
