@relation Converted_from_ACE_XML

@attribute Number_of_Pitches numeric
@attribute Number_of_Pitch_Classes numeric
@attribute Number_of_Common_Pitches numeric
@attribute Number_of_Common_Pitch_Classes numeric
@attribute Range numeric
@attribute Importance_of_Bass_Register numeric
@attribute Importance_of_Middle_Register numeric
@attribute Importance_of_High_Register numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Mean_Pitch numeric
@attribute Mean_Pitch_Class numeric
@attribute Most_Common_Pitch numeric
@attribute Most_Common_Pitch_Class numeric
@attribute Prevalence_of_Most_Common_Pitch numeric
@attribute Prevalence_of_Most_Common_Pitch_Class numeric
@attribute Relative_Prevalence_of_Top_Pitches numeric
@attribute Relative_Prevalence_of_Top_Pitch_Classes numeric
@attribute Interval_Between_Most_Prevalent_Pitches numeric
@attribute Interval_Between_Most_Prevalent_Pitch_Classes numeric
@attribute Pitch_Variability numeric
@attribute Pitch_Class_Variability numeric
@attribute Pitch_Class_Variability_After_Folding numeric
@attribute Pitch_Skewness numeric
@attribute Pitch_Class_Skewness numeric
@attribute Pitch_Class_Skewness_After_Folding numeric
@attribute Pitch_Kurtosis numeric
@attribute Pitch_Class_Kurtosis numeric
@attribute Pitch_Class_Kurtosis_After_Folding numeric
@attribute Major_or_Minor numeric
@attribute First_Pitch numeric
@attribute First_Pitch_Class numeric
@attribute Last_Pitch numeric
@attribute Last_Pitch_Class numeric
@attribute Glissando_Prevalence numeric
@attribute Average_Range_of_Glissandos numeric
@attribute Vibrato_Prevalence numeric
@attribute Microtone_Prevalence numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Mean_Melodic_Interval numeric
@attribute Number_of_Common_Melodic_Intervals numeric
@attribute Distance_Between_Most_Prevalent_Melodic_Intervals numeric
@attribute Prevalence_of_Most_Common_Melodic_Interval numeric
@attribute Relative_Prevalence_of_Most_Common_Melodic_Intervals numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Melodic_Thirds numeric
@attribute Melodic_Perfect_Fourths numeric
@attribute Melodic_Tritones numeric
@attribute Melodic_Perfect_Fifths numeric
@attribute Melodic_Sixths numeric
@attribute Melodic_Sevenths numeric
@attribute Melodic_Octaves numeric
@attribute Melodic_Large_Intervals numeric
@attribute Minor_Major_Melodic_Third_Ratio numeric
@attribute Melodic_Embellishments numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Average_Length_of_Melodic_Arcs numeric
@attribute Average_Interval_Spanned_by_Melodic_Arcs numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Average_Number_of_Simultaneous_Pitch_Classes numeric
@attribute Variability_of_Number_of_Simultaneous_Pitch_Classes numeric
@attribute Average_Number_of_Simultaneous_Pitches numeric
@attribute Variability_of_Number_of_Simultaneous_Pitches numeric
@attribute Most_Common_Vertical_Interval numeric
@attribute Second_Most_Common_Vertical_Interval numeric
@attribute Distance_Between_Two_Most_Common_Vertical_Intervals numeric
@attribute Prevalence_of_Most_Common_Vertical_Interval numeric
@attribute Prevalence_of_Second_Most_Common_Vertical_Interval numeric
@attribute Prevalence_Ratio_of_Two_Most_Common_Vertical_Intervals numeric
@attribute Vertical_Unisons numeric
@attribute Vertical_Minor_Seconds numeric
@attribute Vertical_Thirds numeric
@attribute Vertical_Tritones numeric
@attribute Vertical_Perfect_Fourths numeric
@attribute Vertical_Perfect_Fifths numeric
@attribute Vertical_Sixths numeric
@attribute Vertical_Sevenths numeric
@attribute Vertical_Octaves numeric
@attribute Perfect_Vertical_Intervals numeric
@attribute Vertical_Dissonance_Ratio numeric
@attribute Vertical_Minor_Third_Prevalence numeric
@attribute Vertical_Major_Third_Prevalence numeric
@attribute Chord_Duration numeric
@attribute Partial_Chords numeric
@attribute Standard_Triads numeric
@attribute Diminished_and_Augmented_Triads numeric
@attribute Dominant_Seventh_Chords numeric
@attribute Seventh_Chords numeric
@attribute Non-Standard_Chords numeric
@attribute Complex_Chords numeric
@attribute Minor_Major_Triad_Ratio numeric
@attribute Simple_Initial_Meter numeric
@attribute Compound_Initial_Meter numeric
@attribute Complex_Initial_Meter numeric
@attribute Duple_Initial_Meter numeric
@attribute Triple_Initial_Meter numeric
@attribute Quadruple_Initial_Meter numeric
@attribute Metrical_Diversity numeric
@attribute Total_Number_of_Notes numeric
@attribute Note_Density_per_Quarter_Note numeric
@attribute Note_Density_per_Quarter_Note_per_Voice numeric
@attribute Note_Density_per_Quarter_Note_Variability numeric
@attribute Range_of_Rhythmic_Values numeric
@attribute Number_of_Different_Rhythmic_Values_Present numeric
@attribute Number_of_Common_Rhythmic_Values_Present numeric
@attribute Prevalence_of_Very_Short_Rhythmic_Values numeric
@attribute Prevalence_of_Short_Rhythmic_Values numeric
@attribute Prevalence_of_Medium_Rhythmic_Values numeric
@attribute Prevalence_of_Long_Rhythmic_Values numeric
@attribute Prevalence_of_Very_Long_Rhythmic_Values numeric
@attribute Prevalence_of_Dotted_Notes numeric
@attribute Shortest_Rhythmic_Value numeric
@attribute Longest_Rhythmic_Value numeric
@attribute Mean_Rhythmic_Value numeric
@attribute Most_Common_Rhythmic_Value numeric
@attribute Prevalence_of_Most_Common_Rhythmic_Value numeric
@attribute Relative_Prevalence_of_Most_Common_Rhythmic_Values numeric
@attribute Difference_Between_Most_Common_Rhythmic_Values numeric
@attribute Rhythmic_Value_Variability numeric
@attribute Rhythmic_Value_Skewness numeric
@attribute Rhythmic_Value_Kurtosis numeric
@attribute Mean_Rhythmic_Value_Run_Length numeric
@attribute Median_Rhythmic_Value_Run_Length numeric
@attribute Variability_in_Rhythmic_Value_Run_Lengths numeric
@attribute Mean_Rhythmic_Value_Offset numeric
@attribute Median_Rhythmic_Value_Offset numeric
@attribute Variability_of_Rhythmic_Value_Offsets numeric
@attribute Complete_Rests_Fraction numeric
@attribute Partial_Rests_Fraction numeric
@attribute Average_Rest_Fraction_Across_Voices numeric
@attribute Longest_Complete_Rest numeric
@attribute Longest_Partial_Rest numeric
@attribute Mean_Complete_Rest_Duration numeric
@attribute Mean_Partial_Rest_Duration numeric
@attribute Median_Complete_Rest_Duration numeric
@attribute Median_Partial_Rest_Duration numeric
@attribute Variability_of_Complete_Rest_Durations numeric
@attribute Variability_of_Partial_Rest_Durations numeric
@attribute Variability_Across_Voices_of_Combined_Rests numeric
@attribute Number_of_Strong_Rhythmic_Pulses_-_Tempo_Standardized numeric
@attribute Number_of_Moderate_Rhythmic_Pulses_-_Tempo_Standardized numeric
@attribute Number_of_Relatively_Strong_Rhythmic_Pulses_-_Tempo_Standardized numeric
@attribute Strongest_Rhythmic_Pulse_-_Tempo_Standardized numeric
@attribute Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized numeric
@attribute Harmonicity_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized numeric
@attribute Strength_of_Strongest_Rhythmic_Pulse_-_Tempo_Standardized numeric
@attribute Strength_of_Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized numeric
@attribute Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized numeric
@attribute Combined_Strength_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized numeric
@attribute Rhythmic_Variability_-_Tempo_Standardized numeric
@attribute Rhythmic_Looseness_-_Tempo_Standardized numeric
@attribute Polyrhythms_-_Tempo_Standardized numeric
@attribute Initial_Tempo numeric
@attribute Mean_Tempo numeric
@attribute Tempo_Variability numeric
@attribute Duration_in_Seconds numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Average_Time_Between_Attacks numeric
@attribute Average_Time_Between_Attacks_for_Each_Voice numeric
@attribute Variability_of_Time_Between_Attacks numeric
@attribute Average_Variability_of_Time_Between_Attacks_for_Each_Voice numeric
@attribute Minimum_Note_Duration numeric
@attribute Maximum_Note_Duration numeric
@attribute Average_Note_Duration numeric
@attribute Variability_of_Note_Durations numeric
@attribute Amount_of_Staccato numeric
@attribute Number_of_Strong_Rhythmic_Pulses numeric
@attribute Number_of_Moderate_Rhythmic_Pulses numeric
@attribute Number_of_Relatively_Strong_Rhythmic_Pulses numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Second_Strongest_Rhythmic_Pulse numeric
@attribute Harmonicity_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Strength_of_Strongest_Rhythmic_Pulse numeric
@attribute Strength_of_Second_Strongest_Rhythmic_Pulse numeric
@attribute Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Combined_Strength_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Rhythmic_Variability numeric
@attribute Rhythmic_Looseness numeric
@attribute Polyrhythms numeric
@attribute Variability_of_Note_Prevalence_of_Pitched_Instruments numeric
@attribute Variability_of_Note_Prevalence_of_Unpitched_Instruments numeric
@attribute Number_of_Pitched_Instruments numeric
@attribute Number_of_Unpitched_Instruments numeric
@attribute Unpitched_Percussion_Instrument_Prevalence numeric
@attribute String_Keyboard_Prevalence numeric
@attribute Acoustic_Guitar_Prevalence numeric
@attribute Electric_Guitar_Prevalence numeric
@attribute Violin_Prevalence numeric
@attribute Saxophone_Prevalence numeric
@attribute Brass_Prevalence numeric
@attribute Woodwinds_Prevalence numeric
@attribute Orchestral_Strings_Prevalence numeric
@attribute String_Ensemble_Prevalence numeric
@attribute Electric_Instrument_Prevalence numeric
@attribute Maximum_Number_of_Independent_Voices numeric
@attribute Average_Number_of_Independent_Voices numeric
@attribute Variability_of_Number_of_Independent_Voices numeric
@attribute Voice_Equality_-_Number_of_Notes numeric
@attribute Voice_Equality_-_Note_Duration numeric
@attribute Voice_Equality_-_Dynamics numeric
@attribute Voice_Equality_-_Melodic_Leaps numeric
@attribute Voice_Equality_-_Range numeric
@attribute Importance_of_Loudest_Voice numeric
@attribute Relative_Range_of_Loudest_Voice numeric
@attribute Relative_Range_Isolation_of_Loudest_Voice numeric
@attribute Relative_Range_of_Highest_Line numeric
@attribute Relative_Note_Density_of_Highest_Line numeric
@attribute Relative_Note_Durations_of_Lowest_Line numeric
@attribute Relative_Size_of_Melodic_Intervals_in_Lowest_Line numeric
@attribute Voice_Overlap numeric
@attribute Voice_Separation numeric
@attribute Variability_of_Voice_Separation numeric
@attribute Parallel_Motion numeric
@attribute Similar_Motion numeric
@attribute Contrary_Motion numeric
@attribute Oblique_Motion numeric
@attribute Parallel_Fifths numeric
@attribute Parallel_Octaves numeric
@attribute Dynamic_Range numeric
@attribute Variation_of_Dynamics numeric
@attribute Variation_of_Dynamics_In_Each_Voice numeric
@attribute Average_Note_to_Note_Change_in_Dynamics numeric

@data
26.0, 9.0, 2.0, 1.0, 48.0, 0.1511, 0.6285, 0.2204, 4.0, 2.0, 65.08, 5.125, 69.0, 5.0, 0.1234, 0.2758, 0.898, 0.7078, 4.0, 5.0, 9.268, 3.351, 4.543, -0.4114, 0.1116, 1.448, 6.49, 4.908, 4.332, 0.0, 53.0, 5.0, 41.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.506, 3.0, 2.0, 0.5196, 0.3195, 0.6578, 0.5196, 0.1128, 0.2788, 0.1027, 0.04436, 0.002535, 0.02028, 0.01394, 0.002535, 0.01267, 0.002535, 1.531, 0.06927, 0.4037, 1.715, 5.127, 2.929, 2.933, 0.7331, 3.86, 0.7316, 0.0, 4.0, 4.0, 0.2597, 0.1598, 0.6155, 0.1062, 0.006778, 0.2783, 0.02126, 0.0971, 0.1415, 0.1311, 0.0334, 0.1535, 0.4983, 0.1016, 0.5673, 0.564, 0.2086, 0.1974, 0.4418, 0.0415, 0.009152, 0.07313, 0.2877, 0.0, 0.06085, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 794.0, 10.45, 2.089, 2.592, 6.0, 7.0, 2.0, 0.5088, 0.8338, 0.4912, 0.005038, 0.0, 0.0806, 0.125, 2.0, 0.4383, 0.25, 0.4433, 0.733, 1.0, 0.2772, 2.038, 11.47, 4.01, 1.0, 9.384, 0.003062, 0.002083, 0.005555, 0.01595, 0.3201, 0.08666, 1.002, 7.002, 1.002, 0.8455, 1.002, 0.3375, 0.0, 1.236, 7.05, 3.0, 10.0, 10.0, 120.0, 60.0, 2.0, 0.125, 0.1193, 1.047, 0.2443, 0.02262, 0.0, 0.3, 100.0, 100.0, 0.0, 45.6, 17.41, 7.174, 0.1742, 0.2828, 0.1156, 0.1856, 0.0725, 1.199, 0.2623, 0.1657, 0.06549, 5.0, 9.0, 9.0, 100.0, 50.0, 2.0, 0.1383, 0.1321, 1.047, 0.2704, 0.024, 0.0, 0.3333, 98.94, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.432, 0.0, 0.0, 0.0, 0.8023, 0.0, 0.0, 5.0, 4.641, 0.5813, 30.83, 4.23, 16.25, 0.5477, 4.0, 34.75, 0.3333, 0.0, 0.5, 0.4597, 1.42, 0.0, 0.9559, 6.0, 4.546, 0.05964, 0.1272, 0.07952, 0.7336, 0.0, 0.01392, 51.0, 18.91, 10.31, 1.139
39.0, 11.0, 1.0, 0.0, 45.0, 0.1335, 0.6187, 0.2478, 7.0, 2.0, 65.54, 5.44, 70.0, 10.0, 0.09069, 0.1988, 0.955, 0.8822, 5.0, 7.0, 9.153, 3.315, 4.095, -0.3573, 0.3986, -1.641, 5.779, 4.75, 4.63, 0.0, 75.0, 3.0, 63.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.528, 3.0, 2.0, 0.3083, 0.596, 0.525, 0.3083, 0.1706, 0.3543, 0.1441, 0.0725, 0.004088, 0.03378, 0.0398, 0.007745, 0.0284, 0.006885, 1.233, 0.05566, 0.4868, 1.892, 6.886, 4.41, 2.343, 0.8328, 3.338, 1.199, 0.0, 4.0, 4.0, 0.3324, 0.1614, 0.4856, 0.1183, 0.002346, 0.2691, 0.03222, 0.06917, 0.1052, 0.1354, 0.03985, 0.2142, 0.5068, 0.09729, 0.3631, 0.4958, 0.3116, 0.4105, 0.3854, 0.02556, 0.02492, 0.03141, 0.1727, 0.001079, 0.3352, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 4653.0, 7.94, 1.588, 3.276, 9.0, 10.0, 2.0, 0.4427, 0.8085, 0.5528, 0.009671, 4.298E-4, 0.05824, 0.125, 6.0, 0.4921, 0.25, 0.3937, 0.929, 1.0, 0.376, -0.06302, 45.51, 2.992, 1.0, 7.254, 0.005574, 0.002083, 0.02655, 0.03775, 0.5073, 0.219, 2.065, 20.63, 0.8925, 0.9728, 0.5179, 0.5179, 0.5752, 1.234, 33.56, 5.0, 10.0, 10.0, 120.0, 40.0, 3.0, 0.1338, 0.1315, 1.017, 0.2653, 0.02332, 0.0, 0.3, 110.0, 113.7, 4.82, 309.9, 15.02, 6.224, 0.2095, 0.3404, 0.1503, 0.352, 0.03958, 3.272, 0.2601, 0.2021, 0.049, 4.0, 10.0, 9.0, 114.0, 57.0, 2.0, 0.1538, 0.1451, 1.06, 0.2989, 0.02426, 0.0, 0.2222, 758.1, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4939, 0.0, 0.0, 0.0, 0.8223, 0.0, 0.0, 5.0, 4.063, 1.228, 206.7, 17.75, 18.22, 0.0, 4.301, 39.25, 0.4444, 0.0, 0.5778, 0.07629, 1.29, 0.0, 0.9284, 5.25, 5.315, 0.118, 0.2411, 0.1275, 0.5134, 0.003946, 0.07261, 52.0, 19.3, 10.28, 2.569
41.0, 12.0, 3.0, 2.0, 43.0, 0.1005, 0.6572, 0.2423, 3.0, 2.0, 66.04, 5.463, 67.0, 2.0, 0.1261, 0.247, 0.7996, 0.8336, 5.0, 5.0, 8.556, 3.525, 2.262, -0.1745, -0.4571, 1.322, 5.823, 4.713, 7.134, 0.0, 55.0, 7.0, 45.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.214, 4.0, 2.0, 0.4416, 0.3067, 0.6549, 0.4416, 0.09745, 0.2329, 0.1462, 0.06665, 0.003826, 0.03503, 0.03876, 0.01208, 0.01752, 0.005537, 1.74, 0.05748, 0.4628, 1.882, 6.901, 3.062, 2.644, 0.7724, 4.044, 1.171, 0.0, 4.0, 4.0, 0.3485, 0.142, 0.4073, 0.1313, 0.007171, 0.2327, 0.02452, 0.07856, 0.1216, 0.1354, 0.02947, 0.2172, 0.5487, 0.09084, 0.4882, 0.5618, 0.3015, 0.2828, 0.479, 0.0494, 0.02982, 0.04457, 0.1936, 0.006872, 0.1023, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 11120.0, 9.769, 1.396, 3.208, 11.0, 12.0, 2.0, 0.3596, 0.827, 0.6267, 0.04444, 0.001979, 0.01799, 0.125, 12.0, 0.564, 0.5, 0.4674, 0.6216, 1.0, 0.6332, 0.3034, 95.02, 4.176, 1.0, 11.03, 0.01021, 0.002083, 0.06639, 0.02826, 0.9069, 0.3141, 5.569, 91.82, 1.042, 1.277, 0.4657, 0.2338, 1.402, 6.151, 262.4, 5.0, 10.0, 5.0, 120.0, 60.0, 2.0, 0.1685, 0.1642, 1.026, 0.3327, 0.02758, 0.0, 0.6, 100.0, 96.09, 13.42, 736.2, 15.1, 6.131, 0.2685, 0.8426, 0.2051, 1.956, 0.0, 9.599, 0.3578, 0.4347, 0.06638, 4.0, 8.0, 4.0, 93.0, 47.0, 1.979, 0.2083, 0.203, 1.026, 0.4113, 0.03098, 0.0, 0.5, 1352.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3971, 0.0, 0.04444, 0.1254, 0.7282, 0.0, 0.0, 7.0, 4.956, 1.433, 624.7, 169.7, 5.823, 1.512, 4.0, 8.5, 0.5814, 0.0, 0.5814, 0.04534, 1.112, 0.0, 0.8995, 3.333, 4.367, 0.08026, 0.1632, 0.04508, 0.7114, 0.002973, 0.04261, 51.0, 14.12, 10.62, 1.064
46.0, 12.0, 0.0, 0.0, 51.0, 0.1042, 0.4435, 0.4523, 6.0, 1.0, 69.39, 5.059, 79.0, 0.0, 0.07644, 0.1792, 0.8981, 0.8451, 5.0, 5.0, 10.41, 3.493, 4.187, -0.5528, 0.05101, 1.028, 5.874, 4.669, 4.659, 0.0, 60.0, 0.0, 60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.964, 3.0, 2.0, 0.2708, 0.7996, 0.4185, 0.2165, 0.1941, 0.4649, 0.09986, 0.06545, 0.007832, 0.04056, 0.02741, 0.01678, 0.04028, 0.02042, 1.664, 0.09883, 0.4752, 1.915, 7.026, 4.621, 2.558, 0.8104, 4.049, 1.369, 0.0, 7.0, 7.0, 0.3229, 0.1233, 0.3819, 0.107, 0.006808, 0.2302, 0.03206, 0.07032, 0.1233, 0.1571, 0.03981, 0.2158, 0.5165, 0.1064, 0.4828, 0.4657, 0.2001, 0.3236, 0.4316, 0.02397, 0.004941, 0.006749, 0.2381, 9.197E-4, 0.673, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4108.0, 12.83, 1.832, 4.95, 8.0, 8.0, 3.0, 0.5706, 0.9017, 0.4284, 0.01071, 0.0, 0.01363, 0.125, 4.0, 0.3861, 0.5, 0.3311, 0.9088, 1.0, 0.3194, 1.278, 27.32, 2.536, 1.0, 2.949, 0.01969, 0.002083, 0.05179, 0.05089, 0.9119, 0.3528, 1.002, 35.0, 0.7735, 1.362, 1.002, 0.5021, 0.3604, 3.388, 79.99, 1.0, 20.0, 10.0, 120.0, 60.0, 2.0, 0.1061, 0.0967, 1.097, 0.2028, 0.01891, 0.0, 0.3, 76.0, 76.0, 1.181E-10, 252.8, 16.25, 6.135, 0.2314, 0.7378, 0.1813, 1.282, 0.0, 3.946, 0.3011, 0.2705, 0.2356, 3.0, 12.0, 6.0, 76.0, 152.0, 2.0, 0.1707, 0.1681, 1.016, 0.3388, 0.02543, 0.0, 0.3333, 494.5, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3985, 0.0, 0.05258, 0.1694, 0.6278, 0.0, 0.0, 7.0, 4.773, 1.348, 217.8, 63.15, 6.68, 1.113, 3.716, 10.0, 0.5098, 0.0, 0.5098, 0.1312, 1.623, 0.0, 0.9722, 4.667, 4.676, 0.1391, 0.1747, 0.09426, 0.592, 0.001978, 0.08767, 38.0, 14.39, 11.04, 2.103
33.0, 11.0, 3.0, 1.0, 41.0, 0.08948, 0.622, 0.2885, 3.0, 2.0, 66.4, 4.774, 67.0, 7.0, 0.09653, 0.2077, 1.0, 0.9191, 5.0, 7.0, 8.819, 3.453, 2.908, -0.002398, 0.6724, 0.9918, 5.576, 5.036, 7.701, 0.0, 67.0, 7.0, 48.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.658, 3.0, 2.0, 0.2849, 0.9169, 0.5186, 0.2849, 0.1108, 0.372, 0.1569, 0.06146, 0.004481, 0.03841, 0.03777, 0.009603, 0.02625, 0.008323, 0.8148, 0.06833, 0.5533, 1.988, 7.181, 3.785, 2.699, 0.8472, 4.395, 1.4, 0.0, 4.0, 4.0, 0.3226, 0.151, 0.4681, 0.1149, 0.002532, 0.2501, 0.01939, 0.07236, 0.1215, 0.1578, 0.03059, 0.2077, 0.5165, 0.08179, 0.6261, 0.6152, 0.2185, 0.3168, 0.4274, 0.01764, 0.07488, 0.09159, 0.1642, 0.01494, 0.07378, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1844.0, 17.15, 2.45, 7.172, 10.0, 8.0, 2.0, 0.5738, 0.9393, 0.4252, 0.01681, 0.001085, 0.0103, 0.125, 8.0, 0.3453, 0.125, 0.5054, 1.0, 0.0, 0.3974, 1.663, 157.9, 5.066, 2.0, 9.118, 0.02287, 0.002083, 0.03074, 0.002946, 0.7911, 0.2632, 0.0, 20.5, 0.0, 1.912, 0.0, 0.5021, 0.0, 3.553, 20.44, 0.0, 19.0, 15.0, 120.0, 48.0, 2.5, 0.08115, 0.07386, 1.099, 0.155, 0.01552, 0.2667, 0.2667, 80.0, 80.0, 0.0, 80.62, 22.87, 10.51, 0.1804, 0.4673, 0.1187, 0.7003, 0.0, 5.998, 0.2637, 0.296, 0.1372, 4.0, 17.0, 10.0, 160.0, 80.0, 2.0, 0.1238, 0.1118, 1.107, 0.2357, 0.01998, 0.0, 0.3, 236.6, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4149, 0.0, 0.06941, 0.1931, 0.6226, 0.0, 0.0, 7.0, 5.173, 1.506, 106.7, 15.33, 10.09, 1.496, 4.65, 21.17, 0.5854, 0.0, 0.5366, 0.2809, 1.57, 0.0, 0.9859, 3.833, 1.941, 0.1129, 0.2091, 0.06562, 0.6124, 0.004374, 0.07174, 42.0, 15.22, 10.6, 1.009
43.0, 12.0, 1.0, 0.0, 48.0, 0.1132, 0.5546, 0.3322, 3.0, 2.0, 66.79, 5.062, 70.0, 10.0, 0.09487, 0.1984, 0.8668, 0.9189, 8.0, 8.0, 9.54, 3.593, 4.395, -0.5689, 0.05212, 1.669, 5.363, 4.623, 4.228, 0.0, 62.0, 2.0, 46.0, 10.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.571, 3.0, 2.0, 0.3009, 0.7148, 0.4109, 0.2151, 0.1816, 0.4825, 0.135, 0.05854, 0.004547, 0.0287, 0.03467, 0.008809, 0.02245, 0.009662, 0.9388, 0.03418, 0.5105, 2.522, 8.031, 4.373, 2.512, 0.8736, 3.972, 1.545, 0.0, 4.0, 4.0, 0.3387, 0.162, 0.4784, 0.1083, 0.005612, 0.2587, 0.009988, 0.06542, 0.1227, 0.1428, 0.03196, 0.2304, 0.5268, 0.07722, 0.4722, 0.582, 0.2653, 0.356, 0.4234, 0.009303, 0.05894, 0.08048, 0.1401, 0.004372, 0.1946, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 4037.0, 10.17, 1.453, 3.115, 11.0, 10.0, 3.0, 0.4803, 0.8303, 0.51, 0.01189, 0.004459, 0.05276, 0.125, 12.0, 0.4898, 0.5, 0.35, 0.7948, 2.0, 0.5741, -0.05324, 82.76, 4.536, 2.0, 9.223, 0.02, 0.002083, 0.0485, 0.05443, 0.9085, 0.4086, 0.5021, 61.5, 0.3542, 0.9447, 0.3375, 0.3375, 0.05017, 2.504, 50.35, 5.0, 10.0, 5.0, 80.0, 120.0, 1.5, 0.1628, 0.1534, 1.061, 0.3162, 0.02612, 0.0, 0.4, 120.0, 120.0, 0.0, 198.5, 20.34, 5.878, 0.175, 0.5251, 0.09596, 0.6874, 0.0, 5.999, 0.2447, 0.2957, 0.2782, 5.0, 10.0, 5.0, 80.0, 120.0, 1.5, 0.1628, 0.1534, 1.061, 0.3162, 0.02612, 0.0, 0.4, 581.5, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4528, 0.0, 0.09958, 0.106, 0.7322, 0.0, 0.0, 7.0, 4.378, 1.764, 261.2, 25.17, 8.42, 0.7868, 6.309, 19.0, 0.4167, 0.0, 0.3542, 0.1283, 1.285, 0.0, 0.9656, 3.833, 3.125, 0.1092, 0.2386, 0.06975, 0.5825, 0.001924, 0.0582, 51.0, 15.86, 11.79, 2.442
41.0, 12.0, 1.0, 1.0, 46.0, 0.07205, 0.5927, 0.3352, 4.0, 2.0, 67.37, 5.848, 70.0, 10.0, 0.09329, 0.2154, 0.8943, 0.6901, 12.0, 7.0, 8.893, 3.281, 4.134, -0.3555, -1.053, -1.838, 5.65, 4.803, 4.444, 0.0, 51.0, 3.0, 46.0, 10.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.258, 3.0, 1.0, 0.2607, 0.9594, 0.4, 0.2409, 0.2607, 0.5108, 0.09328, 0.0611, 0.003259, 0.04277, 0.01711, 0.005295, 0.01527, 0.01018, 2.754, 0.1202, 0.4862, 1.815, 5.37, 4.426, 2.535, 0.9078, 3.419, 1.126, 0.0, 4.0, 4.0, 0.3262, 0.1264, 0.3874, 0.1561, 0.005284, 0.2377, 0.02693, 0.08071, 0.104, 0.1388, 0.05481, 0.1701, 0.5109, 0.1269, 0.4548, 0.4612, 0.4376, 0.29, 0.4026, 0.0381, 0.04179, 0.05464, 0.2527, 0.007776, 0.2382, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 5274.0, 6.116, 1.019, 2.898, 9.0, 9.0, 3.0, 0.3641, 0.4103, 0.6333, 0.04285, 3.792E-4, 0.08495, 0.125, 6.0, 0.7236, 1.0, 0.4623, 0.4036, 3.0, 0.505, -1.642, 13.85, 2.505, 1.0, 6.09, 0.01465, 0.002083, 0.03839, 0.03233, 0.9879, 0.2682, 2.002, 110.8, 0.9071, 3.287, 0.6729, 1.002, 0.4411, 11.73, 231.8, 3.0, 21.0, 7.0, 120.0, 60.0, 2.0, 0.1528, 0.1436, 1.064, 0.2964, 0.02148, 0.0, 0.4286, 76.0, 76.0, 6.722E-10, 680.8, 7.747, 3.753, 0.4493, 0.9128, 0.302, 2.126, 0.0, 4.735, 0.5674, 0.4062, 0.1775, 1.0, 12.0, 5.0, 76.0, 152.0, 2.0, 0.2684, 0.09955, 2.696, 0.3679, 0.02685, 0.0, 0.4, 630.3, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4133, 0.0, 0.0, 0.1358, 0.7072, 0.0, 0.0, 6.0, 4.538, 1.044, 167.4, 183.0, 10.11, 0.4082, 4.457, 21.0, 0.4783, 0.0, 0.6522, 0.08419, 1.289, 0.0, 0.9632, 4.2, 3.114, 0.1195, 0.1275, 0.1067, 0.6463, 0.0, 0.09262, 42.0, 16.93, 12.59, 1.025
