,Timestamp,ensemble_optimization_score,single_best_optimization_score,single_best_train_score
0,2023-04-09 18:48:35.689793,0.3333333333333333,,
1,2023-04-09 18:48:42.207709,0.6517786561264822,,
40,2023-04-09 18:48:51.000000,0.6517786561264822,0.6879714576962284,1.0
39,2023-04-09 18:48:51.000000,0.6517786561264822,0.6879714576962284,1.0
38,2023-04-09 18:48:51.000000,0.6517786561264822,0.6879714576962284,1.0
37,2023-04-09 18:48:51.000000,0.6517786561264822,0.6879714576962284,1.0
43,2023-04-09 18:48:51.000000,0.6517786561264822,0.6879714576962284,1.0
41,2023-04-09 18:48:51.000000,0.6517786561264822,0.6879714576962284,1.0
42,2023-04-09 18:48:51.000000,0.6517786561264822,0.6879714576962284,1.0
2,2023-04-09 18:48:53.228794,0.6999560825647783,0.6879714576962284,1.0
44,2023-04-09 18:49:00.000000,0.6999560825647783,0.6907747196738021,1.0
45,2023-04-09 18:49:00.000000,0.6999560825647783,0.6907747196738021,1.0
46,2023-04-09 18:49:00.000000,0.6999560825647783,0.6907747196738021,1.0
47,2023-04-09 18:49:00.000000,0.6999560825647783,0.6907747196738021,1.0
48,2023-04-09 18:49:00.000000,0.6999560825647783,0.6907747196738021,1.0
3,2023-04-09 18:49:01.673733,0.7240228370663152,0.6907747196738021,1.0
71,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
76,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
75,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
74,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
49,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
50,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
51,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
52,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
53,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
54,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
55,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
70,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
69,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
68,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
67,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
66,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
65,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
72,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
64,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
62,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
61,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
60,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
73,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
58,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
56,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
63,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
59,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
57,2023-04-09 18:49:11.000000,0.7240228370663152,0.6907747196738022,1.0
4,2023-04-09 18:49:13.510987,0.7442248572683354,0.6907747196738022,1.0
8,2023-04-09 18:49:30.039953,0.7470794905577515,0.6907747196738022,1.0
5,2023-04-09 18:49:30.039953,0.7470794905577515,0.6907747196738022,1.0
6,2023-04-09 18:49:30.039953,0.7470794905577515,0.6907747196738022,1.0
7,2023-04-09 18:49:30.039953,0.7470794905577515,0.6907747196738022,1.0
9,2023-04-09 18:49:30.039953,0.7470794905577515,0.6907747196738022,1.0
137,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
138,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
139,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
140,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
141,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
154,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
136,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
143,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
144,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
145,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
142,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
135,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
134,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
133,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
117,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
118,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
119,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
120,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
121,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
122,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
123,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
146,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
124,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
126,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
127,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
128,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
129,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
130,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
131,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
132,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
125,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
147,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
150,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
149,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
155,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
156,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
157,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
158,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
159,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
160,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
161,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
162,2023-04-09 18:52:46.000000,0.7470794905577515,0.7301223241590213,1.0
