,Timestamp,ensemble_optimization_score,single_best_optimization_score,single_best_train_score
0,2023-04-06 12:11:58.706155,0.38482131515893137,,
1,2023-04-06 12:12:02.705179,0.38681212854941666,,
83,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
82,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
81,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
80,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
79,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
78,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
77,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
76,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
75,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
74,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
73,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
72,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
71,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
70,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
69,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
68,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
67,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
66,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
65,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
64,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
63,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
84,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
85,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
86,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
87,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
109,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
108,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
107,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
106,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
105,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
104,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
103,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
102,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
101,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
100,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
99,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
97,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
96,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
95,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
94,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
93,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
92,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
91,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
90,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
89,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
88,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
98,2023-04-06 12:12:07.000000,0.38681212854941666,0.49620691878647194,1.0
58,2023-04-06 12:12:09.000000,0.38681212854941666,0.44197053228874494,1.0
60,2023-04-06 12:12:09.000000,0.38681212854941666,0.44197053228874494,1.0
57,2023-04-06 12:12:09.000000,0.38681212854941666,0.44197053228874494,1.0
59,2023-04-06 12:12:09.000000,0.38681212854941666,0.44197053228874494,1.0
3,2023-04-06 12:12:09.050593,0.5080171392910595,0.44197053228874494,1.0
5,2023-04-06 12:12:09.050593,0.5080171392910595,0.44197053228874494,1.0
4,2023-04-06 12:12:09.050593,0.5080171392910595,0.44197053228874494,1.0
2,2023-04-06 12:12:09.050593,0.5080171392910595,0.44197053228874494,1.0
61,2023-04-06 12:12:22.000000,0.5080171392910595,0.4492004384692265,0.5304851816182081
62,2023-04-06 12:12:22.000000,0.5080171392910595,0.4492004384692265,0.5304851816182081
6,2023-04-06 12:12:22.254002,0.5275659035090419,0.4492004384692265,0.5304851816182081
7,2023-04-06 12:12:26.591800,0.5468247755221511,0.4492004384692265,0.5304851816182081
11,2023-04-06 12:12:35.914484,0.550003826439037,0.4492004384692265,0.5304851816182081
10,2023-04-06 12:12:35.914484,0.550003826439037,0.4492004384692265,0.5304851816182081
9,2023-04-06 12:12:35.914484,0.550003826439037,0.4492004384692265,0.5304851816182081
8,2023-04-06 12:12:35.914484,0.550003826439037,0.4492004384692265,0.5304851816182081
12,2023-04-06 12:13:41.976439,0.5539675932171831,0.4492004384692265,0.5304851816182081
16,2023-04-06 12:13:47.812450,0.5549143114342677,0.4492004384692265,0.5304851816182081
17,2023-04-06 12:13:47.812450,0.5549143114342677,0.4492004384692265,0.5304851816182081
18,2023-04-06 12:13:47.812450,0.5549143114342677,0.4492004384692265,0.5304851816182081
19,2023-04-06 12:13:47.812450,0.5549143114342677,0.4492004384692265,0.5304851816182081
15,2023-04-06 12:13:47.812450,0.5549143114342677,0.4492004384692265,0.5304851816182081
13,2023-04-06 12:13:47.812450,0.5549143114342677,0.4492004384692265,0.5304851816182081
14,2023-04-06 12:13:47.812450,0.5549143114342677,0.4492004384692265,0.5304851816182081
165,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
164,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
163,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
131,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
127,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
126,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
125,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
124,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
123,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
122,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
121,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
162,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
161,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
159,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
132,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
130,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
129,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
128,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
134,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
135,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
120,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
136,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
137,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
138,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
139,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
140,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
141,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
142,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
143,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
144,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
145,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
146,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
147,2023-04-06 12:14:16.000000,0.5549143114342677,0.49712415771996,0.7356299056257822
