,Timestamp,ensemble_optimization_score,single_best_optimization_score,single_best_train_score
50,2023-04-09 04:26:52.000000,,0.7511933913449065,0.9303773724272472
51,2023-04-09 04:26:52.000000,,0.7511933913449065,0.9303773724272472
52,2023-04-09 04:26:52.000000,,0.7511933913449065,0.9303773724272472
53,2023-04-09 04:26:52.000000,,0.7511933913449065,0.9303773724272472
54,2023-04-09 04:26:52.000000,,0.7511933913449065,0.9303773724272472
55,2023-04-09 04:26:52.000000,,0.7511933913449065,0.9303773724272472
56,2023-04-09 04:26:52.000000,,0.7511933913449065,0.9303773724272472
57,2023-04-09 04:26:52.000000,,0.7511933913449065,0.9303773724272472
58,2023-04-09 04:26:52.000000,,0.7511933913449065,0.9303773724272472
59,2023-04-09 04:26:52.000000,,0.7511933913449065,0.9303773724272472
0,2023-04-09 04:26:54.030272,0.7509948580371115,0.7511933913449065,0.9303773724272472
45,2023-04-09 04:27:04.000000,0.7509948580371115,0.68314639905549,1.0
1,2023-04-09 04:27:05.810445,0.7525821596244131,0.68314639905549,1.0
2,2023-04-09 04:27:07.807406,0.7566472002748196,0.68314639905549,1.0
3,2023-04-09 04:27:14.316996,0.7695882612749668,0.68314639905549,1.0
48,2023-04-09 04:27:15.000000,0.7695882612749668,0.7316217732884399,0.9572392237028515
49,2023-04-09 04:27:15.000000,0.7695882612749668,0.7324398385004446,1.0
47,2023-04-09 04:27:15.000000,0.7695882612749668,0.7316217732884399,0.9572392237028515
4,2023-04-09 04:27:17.227839,0.7846973439553309,0.7316217732884399,0.9572392237028515
5,2023-04-09 04:27:17.227839,0.7846973439553309,0.7316217732884399,0.9572392237028515
10,2023-04-09 04:27:31.409000,0.7863517146237862,0.7316217732884399,0.9572392237028515
9,2023-04-09 04:27:31.409000,0.7863517146237862,0.7316217732884399,0.9572392237028515
8,2023-04-09 04:27:31.409000,0.7863517146237862,0.7316217732884399,0.9572392237028515
7,2023-04-09 04:27:31.409000,0.7863517146237862,0.7316217732884399,0.9572392237028515
12,2023-04-09 04:27:31.409000,0.7863517146237862,0.7316217732884399,0.9572392237028515
11,2023-04-09 04:27:31.409000,0.7863517146237862,0.7316217732884399,0.9572392237028515
14,2023-04-09 04:27:31.409000,0.7863517146237862,0.7316217732884399,0.9572392237028515
13,2023-04-09 04:27:31.409000,0.7863517146237862,0.7316217732884399,0.9572392237028515
6,2023-04-09 04:27:31.409000,0.7863517146237862,0.7316217732884399,0.9572392237028515
97,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
94,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
95,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
93,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
92,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
91,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
90,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
89,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
87,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
86,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
85,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
84,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
83,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
82,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
81,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
96,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
88,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
104,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
99,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
128,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
127,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
126,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
125,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
124,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
123,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
122,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
121,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
120,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
119,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
118,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
117,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
116,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
115,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
114,2023-04-09 04:27:54.000000,0.7863517146237862,0.7524669494366464,0.9994709534552407
